動画URL,サムネイル,いいね数,説明文,楽曲,楽曲URL,文字起こし,文字起こし修正
https://www.tiktok.com/@hensaikitsui/video/7360646739654692103,https://p77-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/o8HHFiEQIBgmqJJfqiFUMyplknUMfEAEDBkREz?lk3s=81f88b70&x-expires=1749106800&x-signature=ICil9PeR3u2bIu6y3LMzvzSM0RE%3D&shp=81f88b70&shcp=-,1935,全部わかった？ #社長 #おすすめ #借金 #差し押さえ #返済 #副業 #ブラック #金融 #クレカ,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7360646772526025489,3ヶ月でブラック消費者金融これも3ヶ月でブラック奨学金3ヶ月でブラックスマホの分割代金3ヶ月でブラックこれ4番目が特にやばくてえ、なんでですか?ゲームアプリとかにスマホから課金してると電話料金とかと一緒に高額な請求来たりするじゃんしかもそれをクレカ払いにして滞納すると電話もクレカも使えなくなるんだよねあとApple IDとか紐づいてるんだったら解決もされるよやば!ちなみに滞納してもブラックにならないものはコメントらへん,
https://www.tiktok.com/@hensaikitsui/video/7316504783643217170,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/1d580955a0814022a9002068727b2e9a_1703506527?lk3s=81f88b70&x-expires=1749106800&x-signature=dbjsiFz7Mp2n81Ck%2FvknV3UIv%2Bs%3D&shp=81f88b70&shcp=-,1638,質問あったらコメントして #社長　#借金返済 #自己破産　#多重債務者 #詐欺師撲滅,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7316504827620494081,俺は1年前に6億下げにあった26歳。今はなんとか周りのおかげで生活できてるが、下げにあった当初はヤバかった。部屋はゴミ部屋。毎日カップ麺生活。サラリーマンではお金は返せないから、お金を返すために今は会社経営をしている。毎月の固定費は1200万以上あるが、なんとかやりくりできるように復活してきた。まだ従業員30人程度の小さい会社だけど、借金あってどうしていいか分からなくなってる人や、ガツガツベンチャーでスキルアップしたい人は連絡をしてくれ。,
https://www.tiktok.com/@hensaikitsui/video/7355451193323277586,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/5aadeb9272c64b618a5393a7f302a44d_1712574446?lk3s=81f88b70&x-expires=1749106800&x-signature=E2QehD6seCxU8aPIeLYh9iz8iJ8%3D&shp=81f88b70&shcp=-,1564,これは本当にしないとダメです #社長 #おすすめ #借金 #差し押さえ #返済 #自己破産　#ブラック #金融 #ほとんどの人しか知らない,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7355451239821216528,"ブラックリストの正しい解除方法があるって本当ですか?本当。これは消滅事項の栄養手続きですね。何ですかそれ?ブラックリストに乗ると信用情報機関に移動っていう名前が乗っかっちゃいます。基本的に一定期間経つと移動っていうのが回収されるんですけど、移動情報による消える期間はこちら。基本的に消えるまで待つしかないです。でもここで勘違いしてる人がめっちゃ多いんだけど、基本的にブラックリストの期間が終わると移動っていうのは消えるっていう風にされてるんですけど、

取り下げをしてもらわないと一生ブラックのままになっちゃいます自分の情報を見るための信用機関の名前はコメント欄に",
https://www.tiktok.com/@hensaikitsui/video/7212213295149862145,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/1e197364ebc34dafa2b1053306f5d709_1679224274?lk3s=81f88b70&x-expires=1749106800&x-signature=aVvD7ZuOqRdgRVxc5WR0wbDlTNQ%3D&shp=81f88b70&shcp=-,1515,検証して欲しい仕事あったらコメントで教えて！　#メルレ　#副業 #貧乏　#検証　#借金 #借金返済 #バイト　#仕事紹介 #借金生活,オトナブルー - 新しい学校のリーダーズ,https://www.tiktok.com/music/%E3%82%AA%E3%83%88%E3%83%8A%E3%83%96%E3%83%AB%E3%83%BC-6821996679068125186,男の人とメールするだけで稼げる仕事があるらしいこれで借金返していくイージス管理しますプロフィール検証結果0円です結果的にはやめたほうがいいですねこの副業は時間500通やって19000バイトしたほうが正直早い借金返せよか,
https://www.tiktok.com/@hensaikitsui/video/7332815099687734535,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ocMeHQNCgQZh3W8IEg98ftsHXFwECjAfDLIsAD?lk3s=81f88b70&x-expires=1749106800&x-signature=%2Fg6sKOL1j32P249OsLqNfu5ezAY%3D&shp=81f88b70&shcp=-,1263,信じられる？ #借金　#返済　#猫ミーム,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7332815152129067778,"Happy, happy, happy",
https://www.tiktok.com/@hensaikitsui/video/7352852122469272840,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/okQOCASR2E53ElVBEmpgkPDfFNfBABBjQIRKEn?lk3s=81f88b70&x-expires=1749106800&x-signature=u%2FlGFW5YgtvJ17Mt5NPRRIPNry4%3D&shp=81f88b70&shcp=-,1206,全問正解できたらコメントで教えて #社長 #おすすめ #借金 #ビジネスマン #返済 #自己破産　#ブラック,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7352852156070497025,メルペイブラックになるドドツケ払いブラックになるペイペイ後払いブラックになるペイディブラックになるメルペイ後払いブラックになるハンドルカードこれはブラックにならないなんで?理由は信用情報機関への登録をしてないから信用情報機関に登録してないところはブラックに乗らないというかそもそも登録してないから乗っけることができないんだよだから踏み倒しちゃうと弁護士や債券回収業者からたくさん手紙とか電話が来たりするんで踏み倒していいわけじゃないから借金額はコメントで教えて,
https://www.tiktok.com/@hensaikitsui/video/7205867354322996482,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/owLDjCwoyhnQU4vyAxAoIYEAtEBADAAohzNKAf?lk3s=81f88b70&x-expires=1749106800&x-signature=i9k1N7hhx0fzfmc1vn%2BAuqDbCaw%3D&shp=81f88b70&shcp=-,1087,色んな人から電話掛かってきてヤバい… #バズれ #借金生活 #ソウトウシャッキンフクランデル #生涯収支マイナス2億円君 #ギャンブル依存性,フリーザダンス - 🤠ジャスティス/🐬💍🅱️🐶🐾🐷🌹『村雨一家』,https://www.tiktok.com/music/%E3%83%95%E3%83%AA%E3%83%BC%E3%82%B6%E3%83%80%E3%83%B3%E3%82%B9-7187937994404645634,"借金の取り立て電話に対応してるやつはい誰から言ってますかね○○君からちょっとお金借りて○○君にお金預けてるってことではい毎月の返済ではい

今は全然返済できないというか返済できないの?手元に全然お金なくてだってそれ毎月配当出るって話でしょもう終わってるんですよね上が飛んで詐欺なんだ上が詐欺してましたね

君も一緒でしょ?",
https://www.tiktok.com/@hensaikitsui/video/7234102274388135170,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/owBwAsuZgedQ4CLBEkDnPbbfIrIxgGB8BQkYuV~tplv-dmt-logom:tos-alisg-pv-0037/1c7c4898b0c54e84af9ecc3f8f668a2d.image?lk3s=81f88b70&x-expires=1749106800&x-signature=GQ92ZiMQ43f7QF4KgmF4yU6XeaM%3D&shp=81f88b70&shcp=-,801,,"Kirby Gourmet Race Theme (From ""Kirby Super Star"") - Video Game Players",https://www.tiktok.com/music/Kirby-Gourmet-Race-Theme-From-Kirby-Super-Star-6931167624155891714,とりあえず後で見るとして明日行けるお金を稼ぐためにこれから打ち合わせをする今日も一日頑張ろう,
https://www.tiktok.com/@hensaikitsui/video/7221116699532217607,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/oEt6tngERQaAsQtbsZICeWnkheQ8DBQoBgI8HN~tplv-dmt-logom:tos-alisg-i-0068/1fd044ef9d044625a387a504373ec71f.image?lk3s=81f88b70&x-expires=1749106800&x-signature=DeKeCuM2QcikjOEwBkA9JsPLQgg%3D&shp=81f88b70&shcp=-,648,,"Kirby Gourmet Race Theme (From ""Kirby Super Star"") - Video Game Players",https://www.tiktok.com/music/Kirby-Gourmet-Race-Theme-From-Kirby-Super-Star-6931167624155891714,"これは24歳の時に6億円詐欺にあった。最近吹っ切れてきたので詐欺の経緯を語ってみる。詐欺の種類は投資詐欺。あれは23歳の4月、俺はコールセンターの役員を仕事としていた。とある日、会社の社長から、うちはこんな事業もやってるから手伝ってくれと、事業投資の話を持ちかけられた。その投資の話が俺の人生を狂わせた。コロナ禍で苦しんでる飲食店さんが外にキッチンカーを出して稼ぎやすくするための土地代金を集める投資だった。

社会貢献活動にもなるしもともとコールセンターでお世話になっていたので本気で頑張った毎月いろいろな投資家さんから何千万ものお金を調達しどんどん事業に投資してもらったしかしそのお金は全て社長が別のことに使っていたその事実に気づいたのはなんと1年後だった本当に分からずに現実を受け入れるのに何ヶ月もかかったちなみにその社長の名前は吉尾くんしかもさらに最悪なのがトラブルが重なり数ヶ月後ヤクザに追われることになる",
https://www.tiktok.com/@hensaikitsui/video/7285315176319012103,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oAf5aAtgqQBEjDIlcG8bBBgQ3oizNfExRgnQED?lk3s=81f88b70&x-expires=1749106800&x-signature=iqUkPzyfWXb9Q4prGf%2BpxdtJ0ao%3D&shp=81f88b70&shcp=-,492,借金6億の壮絶な人生 #社長　#借金返済 #詐欺師撲滅 #自己破産　#借金ストーリ　#街頭インタビュー,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7285315267180202754,"20歳の時に4000万くらいやられましたね。ビットコインがまだ10万円とかの時で、それの変なマルチに関与されてめっちゃ頑張っちゃって、それで約4000万くらいお金集めて溶かしちゃったんで、それが最初ですね。その4000万が全部持って飛ばれちゃったってことですか?そう、それは全然海外のところなんで追いかけるとかも何もできなくて。それを返すために今までやってきたってことですか?

そうですねでなんか事業とかで半分ずつ戻したりとか 毎月返済したりとか人によってはお前関係ないからいいよって言ってくれたりとかって感じですねその時は20歳で4000万ってやばくないですかそうですねあの時はマジで結構絶望してたっすねそうですよねそれで仕事をそこで復活できるのなかなか難しくないんですか

そうっすねどうやっていいかもわかんないんで学生だったんでそのままサラリーマンを返せないからとりあえず自分で事業を起こすしかないねっていうのでフリーの営業マンになってフリーの営業マンからそれでも安定しなかったんで友達と一緒に会社作ってそれが20の時ですねそこから社長になったってことなんですね1万円ずつとか出し合って作った会社ですね最初は売り上げとかで何?いやでも1年間で数十万円とかその次とかで生産してくれとかにしてたんで結構それで意外といけたっすね

立ち直る力がすごいですよね。そうですね。今やばいですけどね。めっちゃやばいですけどね。",
https://www.tiktok.com/@hensaikitsui/video/7395158183351782664,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/oM4EUEfDgYNBDEhFfMmRBBAjEtg6ToIEODS6kQ?lk3s=81f88b70&x-expires=1749106800&x-signature=njVGAi%2BCB4v%2FC4h8ATvo3o5hKNA%3D&shp=81f88b70&shcp=-,407,質問あったらコメントして #社長 #おすすめ #借金 #債務整理 #滞納,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7395158299357809425,"25歳で借金6億24歳の時信用していた会社の資金調達を手伝い10ヶ月で5億の調達に成功夢から絶望のどん底に突き落とされる余額の借金を返済するためにはもはや労働ではどうにもならず覚悟を決める自分で新しい事業を始めようとした時借金を見兼ねた先輩から救いの手が差し伸べられる時計を売る事業でお前の借金を返していこうしかしそれが終わりの始まりだった

その言葉を信じガムシャラに走り出すもそれもまたサ○○されられたことを皮切りに襲いくるサ○○の波状攻撃それらのすべてが重なり借金6億2期となったがそんな中始めた事業が順調に進み始め1億を返して借金5億2期となる若いうちにありとあらゆるサ○○を経験したため借金で苦しむ人を誰よりも理解しているそんな自分だから借金で苦しむ人のために発信をしようとティック

トークを始めたお金で困っていることがある人は悩みや苦しみをコメントで伝えてほしい相談受けます",
https://www.tiktok.com/@hensaikitsui/video/7282716984570170631,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/o4PIwhCBIQSEyAatROmigLIajmTzCAfNo8UABW~tplv-dmt-logom:tos-alisg-i-0068/o8yEKAeEJEnrGLAAiFAgbuDclRIaRUfBQAIWaC.image?lk3s=81f88b70&x-expires=1749106800&x-signature=of3XSRPVPuv%2FXz96n8wOQ5SlqEU%3D&shp=81f88b70&shcp=-,373,自己破産したらリアルに無くなるもの #社長　#借金返済 #詐欺師撲滅 #自己破産　#借金ストーリー,オリジナル楽曲 - 借金6億ニキ ༽,https://www.tiktok.com/music/%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E6%A5%BD%E6%9B%B2-%E5%80%9F%E9%87%916%E5%84%84%E3%83%8B%E3%82%AD-%E0%BC%BD-7282717029559569154,"自己破産するとどうなる?あれが取り戻せなくなります。僕は借金6億の26歳。自己破産をすれば借金はゼロになります。ちなみに去年は全国で6万人が自己破産をしました。意外に多いですよね。自己破産をしても公営住宅とかなら身体を借りることもできれば、結婚も貯金もできるのでメリットが大きいんです。コメントでもなぜしないのかと聞かれます。僕はするつもりはありません。なぜならメリットより大きなデメリットがあるからです。それは信用をなくすこと。10年間ローンが組めなくなる。クレジットカードの発行ができない。などの信用はもちろん、僕を信じて待ってく

あいつは逃げたとか噂が回ったら仕事がしづらくなります信用落としたら仕事がなくなるのは最近のジャニーズを見たら分かりますよねあなたは借金をしたら借金をゼロにする自己破産を選びますか苦しみの代わりに信用を勝ち取りますかコメントで教えてください",
https://www.tiktok.com/@hensaikitsui/video/7230020692786531585,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/1308b8e658584b0cb2bc59d4ef5e5b0e_1683370381?lk3s=81f88b70&x-expires=1749106800&x-signature=RQ5DUpzhVGL0i%2Bk7d3MIsSiCmzs%3D&shp=81f88b70&shcp=-,365,,"Kirby Gourmet Race Theme (From ""Kirby Super Star"") - Video Game Players",https://www.tiktok.com/music/Kirby-Gourmet-Race-Theme-From-Kirby-Super-Star-6931167624155891714,"絶対に警察に行ってはいけない。俺は借金6億の25歳。何ですぐ警察行かないの?何で裁判起こさないの?というコメントをたくさんいただいた。実は詐欺に遭った時は順番を間違うとあなたは自分や身の回りの人のお金が返ってこない。今回は詐欺に遭った時の3ステップを紹介したいと思う。ステップ1。実は詐欺に遭ったら最初に警察に行ってはいけない。なぜなら警察は被害件数が一定にならないと通し詐欺で動かないからだ。絶対にすぐに弁護士へ相談して即裁判をしてほしい。警察に捕まると詐欺者は思い受けを

被害弁済金は詐欺師が返せる範囲で被害者に平等に払われもし詐欺師が100万円しか払えなくて100人の被害者がいたら自分がもらえるのはたったの1万円民事で他の人に取られる前に攻撃しようでもここで注意ステップ23億以上の詐欺は弁護士へ払う金額が毎金で1000万円ほど必要だいやすごく被害に遭ってるのにさらに金がかかるのかよと思うだろうがこれがもう本当に大変

出せる範囲で2000万円くらいの訴訟を起こして相手の資産を抑える権利を手に入れようそうすれば100万円くらいになる前金を払って詐欺師から取り返そうステップ3ただしこれで裁判に勝っても相手の資産がどこにかけられているかわからないと強制的に抑えることもできないそうなるとさらに暫定費用などお金がかかる裁判でダメだったらここでやっと警察に行こういや、詐欺られるの大変すぎ",
